"lat_bin","lon_bin","year","dist_km","ring","n_pings","n_fishing","frac","log_pings"
-44,-75.5,2019,94.7774247965014,">50 km",84,81,0.964285714285714,4.44265125649032
-44,-75.5,2020,94.7774247965014,">50 km",31,28,0.903225806451613,3.46573590279973
-44,-75.5,2021,94.7774247965014,">50 km",15,13,0.866666666666667,2.77258872223978
-44,-75.5,2022,94.7774247965014,">50 km",26,15,0.576923076923077,3.29583686600433
-44,-75.5,2023,94.7774247965014,">50 km",47,34,0.723404255319149,3.87120101090789
-44,-75.5,2024,94.7774247965014,">50 km",41,19,0.463414634146341,3.73766961828337
-44,-75.5,2025,94.7774247965014,">50 km",29,10,0.344827586206897,3.40119738166216
-44,-75.5,2026,94.7774247965014,">50 km",27,15,0.555555555555556,3.3322045101752
-44,-75.45,2019,90.8824497108375,">50 km",122,118,0.967213114754098,4.81218435537242
-44,-75.45,2020,90.8824497108375,">50 km",101,81,0.801980198019802,4.62497281328427
-44,-75.45,2021,90.8824497108375,">50 km",43,39,0.906976744186046,3.78418963391826
-44,-75.45,2022,90.8824497108375,">50 km",56,36,0.642857142857143,4.04305126783455
-44,-75.45,2023,90.8824497108375,">50 km",107,67,0.626168224299065,4.68213122712422
-44,-75.45,2024,90.8824497108375,">50 km",118,62,0.525423728813559,4.77912349311153
-44,-75.45,2025,90.8824497108375,">50 km",112,67,0.598214285714286,4.72738781871234
-44,-75.45,2026,90.8824497108375,">50 km",78,48,0.615384615384615,4.36944785246702
-44,-75.4,2019,86.9963591492117,">50 km",89,84,0.943820224719101,4.49980967033027
-44,-75.4,2020,86.9963591492117,">50 km",114,97,0.850877192982456,4.74493212836325
-44,-75.4,2021,86.9963591492117,">50 km",81,70,0.864197530864197,4.40671924726425
-44,-75.4,2022,86.9963591492117,">50 km",67,42,0.626865671641791,4.21950770517611
-44,-75.4,2023,86.9963591492117,">50 km",106,64,0.60377358490566,4.67282883446191
-44,-75.4,2024,86.9963591492117,">50 km",173,105,0.606936416184971,5.15905529921453
-44,-75.4,2025,86.9963591492117,">50 km",136,78,0.573529411764706,4.91998092582813
-44,-75.4,2026,86.9963591492117,">50 km",82,51,0.621951219512195,4.4188406077966
-44,-75.35,2019,83.1204007766792,">50 km",62,59,0.951612903225806,4.14313472639153
-44,-75.35,2020,83.1204007766792,">50 km",8,8,1,2.19722457733622
-44,-75.35,2021,83.1204007766792,">50 km",80,74,0.925,4.39444915467244
-44,-75.35,2022,83.1204007766792,">50 km",71,52,0.732394366197183,4.27666611901606
-44,-75.35,2023,83.1204007766792,">50 km",34,12,0.352941176470588,3.55534806148941
-44,-75.35,2024,83.1204007766792,">50 km",47,20,0.425531914893617,3.87120101090789
-44,-75.35,2025,83.1204007766792,">50 km",88,54,0.613636363636364,4.48863636973214
-44,-75.35,2026,83.1204007766792,">50 km",64,37,0.578125,4.17438726989564
-44,-75.3,2019,79.2560626623987,">50 km",64,61,0.953125,4.17438726989564
-44,-75.3,2020,79.2560626623987,">50 km",16,14,0.875,2.83321334405622
-44,-75.3,2021,79.2560626623987,">50 km",19,18,0.947368421052632,2.99573227355399
-44,-75.3,2022,79.2560626623987,">50 km",14,6,0.428571428571429,2.70805020110221
-44,-75.3,2023,79.2560626623987,">50 km",14,0,0,2.70805020110221
-44,-75.3,2024,79.2560626623987,">50 km",9,0,0,2.30258509299405
-44,-75.3,2025,79.2560626623987,">50 km",46,22,0.478260869565217,3.85014760171006
-44,-75.3,2026,79.2560626623987,">50 km",15,3,0.2,2.77258872223978
-44,-75.25,2019,75.4051328955907,">50 km",145,134,0.924137931034483,4.98360662170834
-44,-75.25,2020,75.4051328955907,">50 km",74,72,0.972972972972973,4.31748811353631
-44,-75.25,2021,75.4051328955907,">50 km",134,129,0.962686567164179,4.90527477843843
-44,-75.25,2022,75.4051328955907,">50 km",16,12,0.75,2.83321334405622
-44,-75.25,2023,75.4051328955907,">50 km",223,198,0.887892376681614,5.41164605185504
-44,-75.25,2024,75.4051328955907,">50 km",4,0,0,1.6094379124341
-44,-75.25,2025,75.4051328955907,">50 km",39,21,0.538461538461538,3.68887945411394
-44,-75.25,2026,75.4051328955907,">50 km",19,2,0.105263157894737,2.99573227355399
-44,-75.2,2019,71.5697774179466,">50 km",29,29,1,3.40119738166216
-44,-75.2,2020,71.5697774179466,">50 km",60,54,0.9,4.11087386417331
-44,-75.2,2021,71.5697774179466,">50 km",90,90,1,4.51085950651685
-44,-75.2,2022,71.5697774179466,">50 km",9,7,0.777777777777778,2.30258509299405
-44,-75.2,2023,71.5697774179466,">50 km",23,14,0.608695652173913,3.17805383034795
-44,-75.2,2024,71.5697774179466,">50 km",6,0,0,1.94591014905531
-44,-75.2,2025,71.5697774179466,">50 km",7,0,0,2.07944154167984
-44,-75.2,2026,71.5697774179466,">50 km",7,1,0.142857142857143,2.07944154167984
-44,-75.15,2019,67.7526427127126,">50 km",8,7,0.875,2.19722457733622
-44,-75.15,2020,67.7526427127126,">50 km",21,17,0.80952380952381,3.09104245335832
-44,-75.15,2021,67.7526427127126,">50 km",18,12,0.666666666666667,2.94443897916644
-44,-75.15,2022,67.7526427127126,">50 km",2,1,0.5,1.09861228866811
-44,-75.15,2023,67.7526427127126,">50 km",6,0,0,1.94591014905531
-44,-75.15,2024,67.7526427127126,">50 km",11,4,0.363636363636364,2.484906649788
-44,-75.15,2025,67.7526427127126,">50 km",9,1,0.111111111111111,2.30258509299405
-44,-75.15,2026,67.7526427127126,">50 km",6,1,0.166666666666667,1.94591014905531
-44,-75.1,2019,63.9569927982908,">50 km",9,9,1,2.30258509299405
-44,-75.1,2020,63.9569927982908,">50 km",4,4,1,1.6094379124341
-44,-75.1,2021,63.9569927982908,">50 km",15,11,0.733333333333333,2.77258872223978
-44,-75.1,2022,63.9569927982908,">50 km",3,1,0.333333333333333,1.38629436111989
-44,-75.1,2023,63.9569927982908,">50 km",7,0,0,2.07944154167984
-44,-75.1,2024,63.9569927982908,">50 km",10,1,0.1,2.39789527279837
-44,-75.1,2025,63.9569927982908,">50 km",8,0,0,2.19722457733622
-44,-75.1,2026,63.9569927982908,">50 km",5,0,0,1.79175946922805
-44,-75.05,2019,60.1868941192353,">50 km",8,5,0.625,2.19722457733622
-44,-75.05,2020,60.1868941192353,">50 km",3,3,1,1.38629436111989
-44,-75.05,2021,60.1868941192353,">50 km",13,8,0.615384615384615,2.63905732961526
-44,-75.05,2022,60.1868941192353,">50 km",4,2,0.5,1.6094379124341
-44,-75.05,2023,60.1868941192353,">50 km",4,0,0,1.6094379124341
-44,-75.05,2024,60.1868941192353,">50 km",2,0,0,1.09861228866811
-44,-75.05,2025,60.1868941192353,">50 km",5,0,0,1.79175946922805
-44,-75.05,2026,60.1868941192353,">50 km",3,0,0,1.38629436111989
-44,-75,2019,56.4474680998991,">50 km",7,6,0.857142857142857,2.07944154167984
-44,-75,2020,56.4474680998991,">50 km",30,24,0.8,3.43398720448515
-44,-75,2021,56.4474680998991,">50 km",21,15,0.714285714285714,3.09104245335832
-44,-75,2022,56.4474680998991,">50 km",46,23,0.5,3.85014760171006
-44,-75,2023,56.4474680998991,">50 km",4,0,0,1.6094379124341
-44,-75,2024,56.4474680998991,">50 km",10,0,0,2.39789527279837
-44,-75,2025,56.4474680998991,">50 km",8,0,0,2.19722457733622
-44,-75,2026,56.4474680998991,">50 km",8,0,0,2.19722457733622
-44,-74.95,2019,52.7452403741114,">50 km",8,3,0.375,2.19722457733622
-44,-74.95,2020,52.7452403741114,">50 km",19,14,0.736842105263158,2.99573227355399
-44,-74.95,2021,52.7452403741114,">50 km",29,21,0.724137931034483,3.40119738166216
-44,-74.95,2022,52.7452403741114,">50 km",52,40,0.769230769230769,3.97029191355212
-44,-74.95,2023,52.7452403741114,">50 km",4,0,0,1.6094379124341
-44,-74.95,2024,52.7452403741114,">50 km",4,0,0,1.6094379124341
-44,-74.95,2025,52.7452403741114,">50 km",5,0,0,1.79175946922805
-44,-74.95,2026,52.7452403741114,">50 km",5,0,0,1.79175946922805
-44,-74.9,2019,49.0886295844274,"20–50 km",23,11,0.478260869565217,3.17805383034795
-44,-74.9,2020,49.0886295844274,"20–50 km",13,9,0.692307692307692,2.63905732961526
-44,-74.9,2021,49.0886295844274,"20–50 km",19,15,0.789473684210526,2.99573227355399
-44,-74.9,2022,49.0886295844274,"20–50 km",154,91,0.590909090909091,5.04342511691925
-44,-74.9,2023,49.0886295844274,"20–50 km",4,0,0,1.6094379124341
-44,-74.9,2024,49.0886295844274,"20–50 km",5,0,0,1.79175946922805
-44,-74.9,2025,49.0886295844274,"20–50 km",6,0,0,1.94591014905531
-44,-74.9,2026,49.0886295844274,"20–50 km",2,0,0,1.09861228866811
-44,-74.85,2019,45.4886393426905,"20–50 km",7,6,0.857142857142857,2.07944154167984
-44,-74.85,2020,45.4886393426905,"20–50 km",6,3,0.5,1.94591014905531
-44,-74.85,2021,45.4886393426905,"20–50 km",7,5,0.714285714285714,2.07944154167984
-44,-74.85,2022,45.4886393426905,"20–50 km",26,17,0.653846153846154,3.29583686600433
-44,-74.85,2023,45.4886393426905,"20–50 km",3,0,0,1.38629436111989
-44,-74.85,2024,45.4886393426905,"20–50 km",4,0,0,1.6094379124341
-44,-74.85,2025,45.4886393426905,"20–50 km",8,0,0,2.19722457733622
-44,-74.85,2026,45.4886393426905,"20–50 km",3,0,0,1.38629436111989
-44,-74.8,2019,41.9598471395929,"20–50 km",8,8,1,2.19722457733622
-44,-74.8,2020,41.9598471395929,"20–50 km",1,1,1,0.693147180559945
-44,-74.8,2021,41.9598471395929,"20–50 km",1,1,1,0.693147180559945
-44,-74.8,2022,41.9598471395929,"20–50 km",7,3,0.428571428571429,2.07944154167984
-44,-74.8,2023,41.9598471395929,"20–50 km",5,0,0,1.79175946922805
-44,-74.8,2024,41.9598471395929,"20–50 km",6,0,0,1.94591014905531
-44,-74.8,2025,41.9598471395929,"20–50 km",8,0,0,2.19722457733622
-44,-74.8,2026,41.9598471395929,"20–50 km",2,0,0,1.09861228866811
-44,-74.75,2019,38.521825715341,"20–50 km",3,3,1,1.38629436111989
-44,-74.75,2020,38.521825715341,"20–50 km",1,1,1,0.693147180559945
-44,-74.75,2022,38.521825715341,"20–50 km",9,6,0.666666666666667,2.30258509299405
-44,-74.75,2023,38.521825715341,"20–50 km",4,0,0,1.6094379124341
-44,-74.75,2024,38.521825715341,"20–50 km",7,0,0,2.07944154167984
-44,-74.75,2025,38.521825715341,"20–50 km",15,0,0,2.77258872223978
-44,-74.75,2026,38.521825715341,"20–50 km",5,0,0,1.79175946922805
-44,-74.7,2019,35.201182716863,"20–50 km",14,14,1,2.70805020110221
-44,-74.7,2021,35.201182716863,"20–50 km",2,2,1,1.09861228866811
-44,-74.7,2022,35.201182716863,"20–50 km",12,2,0.166666666666667,2.56494935746154
-44,-74.7,2023,35.201182716863,"20–50 km",5,0,0,1.79175946922805
-44,-74.7,2024,35.201182716863,"20–50 km",5,0,0,1.79175946922805
-44,-74.7,2025,35.201182716863,"20–50 km",10,0,0,2.39789527279837
-44,-74.7,2026,35.201182716863,"20–50 km",6,0,0,1.94591014905531
-44,-74.65,2019,32.0344421975718,"20–50 km",3,3,1,1.38629436111989
-44,-74.65,2020,32.0344421975718,"20–50 km",1,1,1,0.693147180559945
-44,-74.65,2022,32.0344421975718,"20–50 km",8,1,0.125,2.19722457733622
-44,-74.65,2023,32.0344421975718,"20–50 km",6,0,0,1.94591014905531
-44,-74.65,2024,32.0344421975718,"20–50 km",8,0,0,2.19722457733622
-44,-74.65,2025,32.0344421975718,"20–50 km",8,0,0,2.19722457733622
-44,-74.65,2026,32.0344421975718,"20–50 km",4,0,0,1.6094379124341
-44,-74.6,2019,29.0719418284788,"20–50 km",5,5,1,1.79175946922805
-44,-74.6,2020,29.0719418284788,"20–50 km",7,7,1,2.07944154167984
-44,-74.6,2021,29.0719418284788,"20–50 km",7,7,1,2.07944154167984
-44,-74.6,2022,29.0719418284788,"20–50 km",12,3,0.25,2.56494935746154
-44,-74.6,2023,29.0719418284788,"20–50 km",20,0,0,3.04452243772342
-44,-74.6,2024,29.0719418284788,"20–50 km",6,0,0,1.94591014905531
-44,-74.6,2025,29.0719418284788,"20–50 km",20,0,0,3.04452243772342
-44,-74.6,2026,29.0719418284788,"20–50 km",6,0,0,1.94591014905531
-44,-74.55,2019,26.3825752290952,"20–50 km",21,21,1,3.09104245335832
-44,-74.55,2020,26.3825752290952,"20–50 km",14,14,1,2.70805020110221
-44,-74.55,2021,26.3825752290952,"20–50 km",13,13,1,2.63905732961526
-44,-74.55,2022,26.3825752290952,"20–50 km",16,4,0.25,2.83321334405622
-44,-74.55,2023,26.3825752290952,"20–50 km",22,1,0.0454545454545455,3.13549421592915
-44,-74.55,2024,26.3825752290952,"20–50 km",21,0,0,3.09104245335832
-44,-74.55,2025,26.3825752290952,"20–50 km",19,0,0,2.99573227355399
-44,-74.55,2026,26.3825752290952,"20–50 km",16,0,0,2.83321334405622
-44,-74.5,2019,24.0581163855133,"20–50 km",33,33,1,3.52636052461616
-44,-74.5,2020,24.0581163855133,"20–50 km",11,11,1,2.484906649788
-44,-74.5,2021,24.0581163855133,"20–50 km",13,13,1,2.63905732961526
-44,-74.5,2022,24.0581163855133,"20–50 km",13,5,0.384615384615385,2.63905732961526
-44,-74.5,2023,24.0581163855133,"20–50 km",27,1,0.037037037037037,3.3322045101752
-44,-74.5,2024,24.0581163855133,"20–50 km",20,0,0,3.04452243772342
-44,-74.5,2025,24.0581163855133,"20–50 km",12,0,0,2.56494935746154
-44,-74.5,2026,24.0581163855133,"20–50 km",7,0,0,2.07944154167984
-44,-74.45,2019,22.2134173374636,"20–50 km",19,19,1,2.99573227355399
-44,-74.45,2020,22.2134173374636,"20–50 km",12,12,1,2.56494935746154
-44,-74.45,2021,22.2134173374636,"20–50 km",21,21,1,3.09104245335832
-44,-74.45,2022,22.2134173374636,"20–50 km",27,11,0.407407407407407,3.3322045101752
-44,-74.45,2023,22.2134173374636,"20–50 km",33,0,0,3.52636052461616
-44,-74.45,2024,22.2134173374636,"20–50 km",15,1,0.0666666666666667,2.77258872223978
-44,-74.45,2025,22.2134173374636,"20–50 km",9,0,0,2.30258509299405
-44,-74.4,2019,20.9754414627863,"20–50 km",68,68,1,4.23410650459726
-44,-74.4,2020,20.9754414627863,"20–50 km",34,34,1,3.55534806148941
-44,-74.4,2021,20.9754414627863,"20–50 km",30,30,1,3.43398720448515
-44,-74.4,2022,20.9754414627863,"20–50 km",50,35,0.7,3.93182563272433
-44,-74.4,2023,20.9754414627863,"20–50 km",70,1,0.0142857142857143,4.26267987704132
-44,-74.4,2024,20.9754414627863,"20–50 km",19,0,0,2.99573227355399
-44,-74.4,2025,20.9754414627863,"20–50 km",29,0,0,3.40119738166216
-44,-74.4,2026,20.9754414627863,"20–50 km",2,0,0,1.09861228866811
-44,-74.35,2019,20.4546495443877,"20–50 km",62,61,0.983870967741935,4.14313472639153
-44,-74.35,2020,20.4546495443877,"20–50 km",42,42,1,3.76120011569356
-44,-74.35,2021,20.4546495443877,"20–50 km",23,23,1,3.17805383034795
-44,-74.35,2022,20.4546495443877,"20–50 km",59,30,0.508474576271186,4.0943445622221
-44,-74.35,2023,20.4546495443877,"20–50 km",103,0,0,4.64439089914137
-44,-74.35,2024,20.4546495443877,"20–50 km",23,0,0,3.17805383034795
-44,-74.35,2025,20.4546495443877,"20–50 km",40,0,0,3.71357206670431
-44,-74.3,2019,20.3502999424428,"20–50 km",3,3,1,1.38629436111989
-44,-74.3,2020,20.3502999424428,"20–50 km",6,6,1,1.94591014905531
-44,-74.3,2021,20.3502999424428,"20–50 km",4,4,1,1.6094379124341
-44,-74.3,2022,20.3502999424428,"20–50 km",3,1,0.333333333333333,1.38629436111989
-44,-74.3,2023,20.3502999424428,"20–50 km",4,0,0,1.6094379124341
-44,-74.25,2020,20.6173047771037,"20–50 km",2,2,1,1.09861228866811
-44,-74.25,2021,20.6173047771037,"20–50 km",3,3,1,1.38629436111989
-44,-74.25,2022,20.6173047771037,"20–50 km",2,0,0,1.09861228866811
-44,-74.2,2020,20.6971256276891,"20–50 km",4,4,1,1.6094379124341
-44,-74.2,2021,20.6971256276891,"20–50 km",1,1,1,0.693147180559945
-44,-74.2,2022,20.6971256276891,"20–50 km",3,0,0,1.38629436111989
-44,-74.15,2019,16.8065512929475,"10–20 km",6,6,1,1.94591014905531
-44,-74.15,2020,16.8065512929475,"10–20 km",3,3,1,1.38629436111989
-44,-74.15,2021,16.8065512929475,"10–20 km",1,1,1,0.693147180559945
-44,-74.15,2022,16.8065512929475,"10–20 km",2,0,0,1.09861228866811
-44,-74.15,2023,16.8065512929475,"10–20 km",11,5,0.454545454545455,2.484906649788
-44,-74.15,2025,16.8065512929475,"10–20 km",1,0,0,0.693147180559945
-44,-74.1,2019,12.9814463774924,"10–20 km",1,1,1,0.693147180559945
-44,-74.1,2020,12.9814463774924,"10–20 km",6,6,1,1.94591014905531
-44,-74.1,2021,12.9814463774924,"10–20 km",2,2,1,1.09861228866811
-44,-74.1,2022,12.9814463774924,"10–20 km",1,0,0,0.693147180559945
-44,-74.1,2023,12.9814463774924,"10–20 km",10,3,0.3,2.39789527279837
-44,-74.05,2019,9.30292439059899,"5–10 km",8,8,1,2.19722457733622
-44,-74.05,2020,9.30292439059899,"5–10 km",6,6,1,1.94591014905531
-44,-74.05,2021,9.30292439059899,"5–10 km",6,6,1,1.94591014905531
-44,-74.05,2022,9.30292439059899,"5–10 km",13,5,0.384615384615385,2.63905732961526
-44,-74.05,2023,9.30292439059899,"5–10 km",4,0,0,1.6094379124341
-44,-74.05,2024,9.30292439059899,"5–10 km",3,0,0,1.38629436111989
-44,-74,2019,6.04479553036773,"5–10 km",94,69,0.734042553191489,4.55387689160054
-44,-74,2020,6.04479553036773,"5–10 km",53,50,0.943396226415094,3.98898404656427
