"bloom_month","dist_mid","att","se_att","n_cells","ci_lo","ci_hi"
"2019-10",2.5,0.0193997360641417,0.0195360669174424,44,-0.0188909550940454,0.0576904272223287
"2019-10",7.5,0.0250270183196198,0.0157736078201887,101,-0.00588925300795008,0.0559432896471896
"2019-10",12.5,0.0153861194395786,0.00870721854889009,111,-0.00168002891624594,0.0324522677954032
"2019-10",17.5,-0.00113505754858399,0.00877657054942215,91,-0.0183371358254514,0.0160670207282834
"2019-10",22.5,0.000264301652599904,0.00962721787068378,64,-0.0186050453739403,0.0191336486791401
"2019-10",27.5,-0.0234467632910345,0.0209602841718496,50,-0.0645289202678597,0.0176353936857907
"2019-10",32.5,0.00124473290823633,0.0238195950382789,46,-0.0454416733667903,0.047931139183263
"2019-10",37.5,0.0351106660069151,0.0231922270650048,36,-0.0103460990404942,0.0805674310543245
"2019-10",42.5,0.0127090599886919,0.020480613681335,31,-0.0274329428267246,0.0528510628041084
"2019-10",47.5,0.000377967768342226,0.0135414849941204,29,-0.0261633428201337,0.0269192783568182
"2019-10",52.5,-0.013684006547514,0.0175789228688981,31,-0.0481386953705543,0.0207706822755264
"2019-10",57.5,0.0110529921241495,0.0195105477689626,39,-0.0271876815030172,0.0492936657513163
"2019-10",62.5,-0.0198371452201188,0.013513242976167,40,-0.046323101453406,0.0066488110131685
"2019-10",67.5,-0.00737589196491982,0.0174335035430399,39,-0.041545558909278,0.0267937749794384
"2019-10",72.5,0.0115109854893232,0.0146190518389384,39,-0.0171423561149961,0.0401643270936426
"2019-10",77.5,-0.00216028241997955,0.01169413353077,41,-0.0250807841402887,0.0207602193003296
"2019-11",2.5,0.0217182017570315,0.0158715898660415,68,-0.00939011438040975,0.0528265178944727
"2019-11",7.5,-0.000159761293494869,0.0109459816068617,111,-0.0216138852429437,0.021294362655954
"2019-11",12.5,-0.00600530187690214,0.00623995281232256,104,-0.0182356093890544,0.00622500563525007
"2019-11",17.5,0.00956586011943298,0.00641692493761897,89,-0.0030113127583002,0.0221430329971662
"2019-11",22.5,-0.00289357034621827,0.00952800466926233,71,-0.0215684594979724,0.0157813188055359
"2019-11",27.5,-0.0235212822275431,0.0157101614497876,59,-0.0543131986691268,0.00727063421404064
"2019-11",32.5,0.0290684890732326,0.0158967631145824,64,-0.00208916663134895,0.0602261447778142
"2019-11",37.5,-0.0109241244727141,0.0124454506448127,66,-0.035317207736547,0.0134689587911187
"2019-11",42.5,0.0152549563738281,0.0119815374760518,71,-0.00822885707923346,0.0387387698268897
"2019-11",47.5,0.0132361429372612,0.0208991891804448,59,-0.0277262678564106,0.0541985537309331
"2019-11",52.5,0.00568721115436746,0.0209244906242049,66,-0.0353247904690741,0.046699212777809
"2019-11",57.5,0.0221077937516172,0.0206434864421507,53,-0.0183534396749981,0.0625690271782325
"2019-11",62.5,-0.0291413862482355,0.0168577997438104,34,-0.0621826737461038,0.00389990124963279
"2019-11",67.5,0.0188396176323032,0.0206353030579803,20,-0.0216055763613382,0.0592848116259445
"2019-11",72.5,0.0208771621212258,0.0387311026610073,24,-0.0550357990943484,0.0967901233368
"2019-11",77.5,0.00599485862319229,0.0261339551792498,29,-0.0452276935281372,0.0572174107745218
"2020-03",2.5,0.00219816987378547,0.0216588181894845,28,-0.0402531137776042,0.0446494535251752
"2020-03",7.5,-0.0246148010480864,0.0191957926493343,50,-0.0622385546407817,0.013008952544609
"2020-03",12.5,-0.00232517187921747,0.00481833891602733,40,-0.011769116154631,0.00711877239619609
"2020-03",17.5,-0.0220713907126092,0.0165278013873879,41,-0.0544658814318894,0.0103231000066711
"2020-03",22.5,-0.00895356234586095,0.00957491136763438,42,-0.0277203886264243,0.00981326393470243
"2020-03",27.5,0.00592268254293669,0.0184045882111869,35,-0.0301503103509897,0.0419956754368631
"2020-03",32.5,-0.0316769693108756,0.0152421064564353,39,-0.0615514979654889,-0.00180244065626236
"2020-03",37.5,-0.0141899720138604,0.0138837191481958,37,-0.0414020615443242,0.0130221175166034
"2020-03",42.5,0.0121925668985478,0.0104265793382544,39,-0.00824352860443075,0.0326286624015264
"2020-03",47.5,-0.0454413328630227,0.0342092463099599,33,-0.112491455630544,0.0216087899044987
"2020-03",52.5,0.00359882973026803,0.0106259904755076,36,-0.0172281116017269,0.024425771062263
"2020-03",57.5,0.0116798570860236,0.0258336371487128,41,-0.0389540717254536,0.0623137858975008
"2020-03",62.5,-0.00497291391480765,0.0386803303126514,31,-0.0807863613276044,0.070840533497989
"2020-03",67.5,-0.015886946479031,0.0379824103148214,24,-0.090332470696081,0.0585585777380189
"2020-03",72.5,-0.0083343785407064,0.0338534596522335,25,-0.074687159459084,0.0580184023776712
"2020-03",77.5,-0.00849744192036537,0.0228851014169976,25,-0.0533522406976806,0.0363573568569499
